,resource_name,type,details,ownership_status,format,format_details,storage_location,storage_location_details,private_public,agency,Respondent Full Name,size,collection_method,Imagery,Continuous,Observational,collection_method_details,name,name2,data_type
25,weather and precipitation data PRISM,dataset,"https://www.prism.oregonstate.edu/
this dataset contains lots of precipitation data, as well as other climate observation data.",opensource,geoformat,ASC or BIL,local,NA,public,NRCS,Buehler_Eric,unknown,imagery,TRUE,FALSE,FALSE,NA,PRISM,PRISM,Climate
32,PRISM climate data,dataset,https://www.prism.oregonstate.edu/,freeware,geoformat,BIL,other,See link.,public,ARS,Goslee_Sarah,1tb,continuous,FALSE,TRUE,FALSE,NA,PRISM,PRISM,Climate
215,PRISM Climate group,dataset,"The PRISM Climate Group gathers climate observations from a wide range of monitoring networks, applies sophisticated quality control measures, and develops spatial climate datasets to reveal short- and long-term climate patterns. The resulting datasets incorporate a variety of modeling techniques and are available at multiple spatial/temporal resolutions, covering the period from 1895 to the present. Whenever possible, we offer these datasets to the public, either free of charge or for a fee (depending on data set size/complexity and funding available for the activity).",opensource,database,NA,cloud,NA,public,ARS,Tatarko_John,unknown,continuous,FALSE,TRUE,FALSE,NA,PRISM,PRISM,Climate
230,PRISM Climate Data - Oregon State University,dataset,PRISM Climate Data - Oregon State University,opensource,geoformat,NA,other,NA,public,ARS,Adler_Paul,unknown,other,FALSE,FALSE,FALSE,NA,PRISM,PRISM,Climate
175,Prairie dog colony inventories,dataset,Polygons depicting prairie dog colony boundaries in CO and WY. Manually delineated using handled GPS units. Collected annually for 10-20 years at Central Plains Experimental Range and Thunder Basin National Grasslands.,owned,geoformat,NA,server,NA,hybrid,ARS,Kearney_Sean,100gb,observational,FALSE,FALSE,TRUE,NA,Prairie dog colony inventories,Prairie dog colony inventories,Animal
408,PPQ fumigations,dataset,"Utilized by SITC.
PPQ internal data resource collected primarily at ports of entry.",owned,other,No idea.,server,NA,private,APHIS,Davis_Eoin,unknown,observational,FALSE,FALSE,TRUE,NA,PPQ fumigations,PPQ fumigations,Pest/Disease
381,PPQ 280 Tool,dataset,The PPQ 280 Data Tool checks the 280 data that comes from CBP into ARM and flags it for  potential errors that need to undergo a quality check to ensure that data is accurate.,owned,database,NA,other,My access is saved on a temporary file on my computer,private,APHIS,Marnell_Sarah,unknown,other,FALSE,FALSE,FALSE,Data comes in continuously but we have to choose to run the 280 Data Tool,PPQ 280 Tool,PPQ 280 Tool,Pest/Disease
53,PLSS Boundary Dataset,dataset,"Dataset that contains the PLSS delineations for Township, Range and Section polygons.  Provides basic geographic reference information.",private,geoformat,NA,server,NA,public,FPAC,Blankley_Brent,unknown,other,FALSE,FALSE,FALSE,Unknown - created and maintained by original source.,PLSS Boundary Dataset,PLSS Boundary Dataset,Boundary
428,Plan of Work (POW),dataset,"The Plan of Work (POW) data collection, including the Annual Report of Accomplishments, is the vehicle for Land Grant Universities to report planned Agriculture Research and Extension programs and annual program results. The Plan of Work is mandated by the Agricultural Research, Extension, and Education Reform Act of 1998. POW submissions for FY2023 will likely be completed in NRS. I am not too familiar with this data collection. I made a best guess below.",owned,other,Not sure,other,not sure,public,NIFA,Azevedo_Marline,unknown,observational,FALSE,FALSE,TRUE,NA,Plan of Work (POW),Plan of Work (POW),NA
46,USDA Historical Aerial Photography,dataset,"Digital scans of historical aerial photography at various scales and formats (black and white, color infrared, natural color).  Scanned imagery is not georeferenced or geolocated in any way.  Imagery was originally flown by FSA, USGS, NRCS and USFS.",owned,geoformat,TIFF,server,NA,public,FPAC,Blankley_Brent,unknown,imagery,TRUE,FALSE,FALSE,NA,Photo,Photo,NA
48,Digital Photo Indexes,dataset,Digital scans of original analog photo indexes that are used to fulfill aerial imagery orders.,owned,geoformat,TIFF and JPEG,server,NA,public,FPAC,Blankley_Brent,unknown,imagery,TRUE,FALSE,FALSE,NA,Photo,Photo,NA
50,Historical Aerial Photography Photo Center Points,dataset,Dataset that contains the photo center points for each photograph in the USDA historical aerial photography collection.  Photo center points derived from digital photo index scans.,owned,geoformat,NA,server,NA,public,FPAC,Blankley_Brent,unknown,imagery,TRUE,FALSE,FALSE,NA,Photo,Photo,NA
117,Photos of the Llano Estacado,dataset,Photos of the high plains of the Llano Estacado that have been collected by staff during field excursions.,owned,other,JPG photos.,server,NA,public,ARS,Stout_John,100gb,imagery,TRUE,FALSE,FALSE,NA,Photo,Photo,NA
118,Photos of the Rolling Plains of Texas and Oklahoma,dataset,"Photos of the Rolling Plains located to the east of Llano Estacado. These photos have been collected while taking water samples at various locations in the Rolling Plains of Texas and Oklahoma.  All photos are available at:

https://www.ars.usda.gov/plains-area/lubbock-tx/cropping-systems-research-laboratory/wind-erosion-and-water-conservation-research/docs/rp/",owned,other,JPG photos.,server,NA,public,ARS,Stout_John,100gb,imagery,TRUE,FALSE,FALSE,NA,Photo,Photo,NA
269,Historical USDA Photo Center Point Index,dataset,Digital center point dataset to replace analog photo-index reference sheets to identify locations of historical film-based aerial imagery and capture attributes.,owned,geoformat,Shapefiles.  Derivative products stored in gdb.,server,stored in Kansas City based server. Backed up to GFE laptop.,public,FPAC,Lohry_Jerry,100gb,other,FALSE,FALSE,FALSE,"Historic photo index sheets were compiled at time of aerial imagery acquisition. The GIS product is derived from those historic photo sheets. Creation of this dataset is ongoing, and will take several years.",Photo,Photo,NA
96,phosphorus loss in runoff events from agricultural fields,dataset,"databased containing measured phosphorus loadings from agricultural fields in southern US. 
https://data.nal.usda.gov/dataset/data-development-plead-database-containing-event-based-runoff-p-loadings-agricultural-fields",owned,excel,NA,server,NA,public,ARS,bolster_carl,100gb,observational,FALSE,FALSE,TRUE,NA,phosphorus loss in runoff events from agricultural fields,phosphorus loss in runoff events from agricultural fields,NA
102,PhenoCam,dataset,https://phenocam.sr.unh.edu/webcam/about/,shared,excel,NA,server,NA,public,ARS,Saliendra_Nick,100gb,imagery,TRUE,FALSE,FALSE,NA,PhenoCam,PhenoCam,Imagery
354,phenocam (four sites),dataset,"https://phenocam.sr.unh.edu/webcam/gallery/
arsmorris1, arsmorris2, arsmorris3

",owned,other,jpg images,other,"At the Phenocam Network, I don't know who provides the data storage",public,ARS,Johnson_Jane,unknown,imagery,TRUE,FALSE,FALSE,NA,PhenoCam,PhenoCam,Imagery
235,PestLens,dataset,"PestLens stores researched articles about insect pests, diseases, and weeds that are not yet endemic to the US and are worthy of monitoring because of changing locations, hosts, pest status, or new pest descriptions. A periodic email is sent to an email list of subscribers in addition to listservs within USDA APHIS.",owned,database,Cold Fusion,local,NA,private,APHIS,Hallberg_Rosemary,1tbplus,observational,FALSE,FALSE,TRUE,NA,PestLens,PestLens,NA
395,Peer review journal web sites,dataset,"Access to articles and links to supplemental material (e.g., data)",private,excel,Varies,other,Journal server?,public,ARS,Beck_John,100gb,observational,FALSE,FALSE,TRUE,NA,Peer review journal web sites,Peer review journal web sites,NA
304,Peanut Base,dataset,Repository for peanut bioinformatic and genetic information,opensource,database,NA,cloud,NA,public,ARS,Chamberlin_Kelly,unknown,observational,FALSE,FALSE,TRUE,NA,Peanut Base,Peanut Base,Genomic
90,PDI data capture tools,dataset,"Built within the open source ESRI 123 environment, the data collection and capture tools generated by PDI help improve the efficiency and accuracy of data capture, processing and sharing across ARS research locations and collaborators. Tools have been developed that capture tick sightings and movements, research farm management, recovery efforts from citrus greening infestation and many others.",opensource,geoformat,NA,cloud,NA,hybrid,ARS,Eve_Marlen,1tb,observational,FALSE,FALSE,TRUE,NA,PDI data capture tools,PDI data capture tools,NA
394,PBW / NOW production database,dataset,"This production database is an in-house thing programmed by PPQ IT many years ago.  It tracks and reports on production, internal quality control data, and daily, weekly, and time-variable data.  Daily reports to external parties (stakeholders, shipment receivers) contain critical operational data for aerial releases to be able to occur.  Weekly and time-variable reporting for internal and external purposes is also critical to program operations.  These factors make the database a mission-critical to the entire Navel Orangeworm program, and require immediate response to failures.",owned,database,NA,server,NA,private,APHIS,Davis_Eoin,unknown,"continuous,observational",FALSE,TRUE,TRUE,NA,PBW / NOW production database,PBW / NOW production database,NA
161,pathogen finder,dataset,pathogen database,shared,database,NA,cloud,NA,public,ARS,Wheeler_Tommy,unknown,observational,FALSE,FALSE,TRUE,NA,pathogen finder,pathogen finder,NA
26,Parcel data,dataset,"we obtain a copy of the county GIS parcel data from each individual county, as much as possible.",opensource,geoformat,feature class and shapefile,server,NA,private,NRCS,Buehler_Eric,100gb,other,FALSE,FALSE,FALSE,each individual county creates and updates this data,Parcel data,Parcel data,Boundary
400,Panjiva,dataset,"This is a SITC resource.
www.panjiva.com
Panjiva Inc. is a global trade data company. It is a subscription-based website with import and export details on commercial shipments worldwide.",commercial,other,No idea.  It's a website.,other,Internet portal access,hybrid,APHIS,Davis_Eoin,unknown,other,FALSE,FALSE,FALSE,Don't know how they collect their data.,Panjiva,Panjiva,NA
12,Oracle,dataset,http://amscoden3apmwp1.usda.net:9001/forms/frmservlet?config=wls12c_fv_app,owned,other,Website,server,NA,public,AMS,Smit_Tiffany,unknown,observational,FALSE,FALSE,TRUE,NA,Oracle Database,Oracle Database,NA
55,Oracle Database,dataset,Oracle database that is used to record aerial photography information and film location (if applicable).  Also is the basis for creating aerial photography customer work order forms and recording financial transactions.,commercial,database,NA,server,NA,private,FPAC,Blankley_Brent,unknown,other,FALSE,FALSE,FALSE,Unknown,Oracle Database,Oracle Database,Imagery
